正在執行最佳組合回測以生成報表...

====================================================================================================
  一、 詳細交易流水帳 (按日期排序)
====================================================================================================
    日期      代號   方向    股數      價格      變動金額      實現盈虧  
20250714    8478     買入        224    212.00         47,488           0
20250714    1229     買入        997     47.80         47,657           0
20250715    2383     賣出         14    970.00         13,580       2,014
20250715    2455     賣出        233    139.00         32,387       4,387
20250715    1519     賣出          7    632.00          4,424         687
20250715    2308     賣出         25    494.00         12,350       1,835
20250715    2316     賣出        626     56.80         35,557       5,215
20250715    6831     賣出        166    168.49         27,970       9,982
20250715    8046     賣出        235    157.50         37,012       6,419
20250715    8478     賣出        224    215.20         48,204         648
20250715    6290     賣出        429    107.67         46,191      -1,496
20250715    2887     買入      1,394     18.40         25,650           0
20250715    2753     買入        127    202.00         25,654           0
20250715    7703     買入        161    159.00         25,599           0
20250715    3617     買入         89    287.00         25,543           0
20250715    2515     買入      2,221     11.55         25,653           0
20250715    8105     買入      1,794     14.30         25,654           0
20250715    4721     買入        361     71.00         25,631           0
20250715    3167     買入        166    154.00         25,564           0
20250715    5278     買入        605     42.35         25,622           0
20250715    6613     買入        135    190.00         25,650           0
20250716    3583     賣出         23    341.00          7,843         265
20250716    6895     賣出        186    195.05         36,279       5,918
20250716    4551     賣出        398    119.96         47,744         115
20250716    3211     賣出        228    238.14         54,295      -1,759
20250716    3297     賣出        424     64.93         27,528       3,326
20250716    3543     賣出      1,480     25.92         38,354       1,301
20250716    7703     賣出        161    154.23         24,831        -804
20250716    3617     賣出         89    278.39         24,776        -803
20250716    2515     賣出      2,221     11.55         25,653         -37
20250716    8105     賣出      1,794     13.87         24,885        -806
20250716    2455     買入        221    140.50         31,050           0
20250716    6139     買入         95    324.00         30,780           0
20250716    4772     買入        136    228.00         31,008           0
