code,name,market,industry,listing_date,category,code_len
6177,達麗,上市,建材營造業,2013/8/1,股票,4
6183,關貿,上市,資訊服務業,2011/12/1,股票,4
6184,大豐電,上市,其他業,2005/2/15,股票,4
6189,豐藝,上市,電子通路業,2004/5/24,股票,4
6191,精成科,上市,電子零組件業,2007/10/19,股票,4
6192,巨路,上市,其他電子業,2004/9/27,股票,4
6196,帆宣,上市,其他電子業,2004/5/24,股票,4
6197,佳必琪,上市,電子零組件業,2004/11/8,股票,4
6201,亞弘電,上市,其他電子業,2004/9/27,股票,4
6202,盛群,上市,半導體業,2004/9/27,股票,4
6205,詮欣,上市,電子零組件業,2008/1/21,股票,4
6206,飛捷,上市,電腦及週邊設備業,2004/8/3,股票,4
6209,今國光,上市,光電業,2004/11/8,股票,4
6213,聯茂,上市,電子零組件業,2008/1/21,股票,4
6214,精誠,上市,資訊服務業,2010/12/30,股票,4
6215,和椿,上市,其他電子業,2007/12/31,股票,4
6216,居易,上市,通信網路業,2004/9/27,股票,4
6224,聚鼎,上市,電子零組件業,2009/9/17,股票,4
6225,天瀚,上市,光電業,2004/9/27,股票,4
6226,光鼎,上市,光電業,2008/11/10,股票,4
6230,尼得科超眾,上市,電腦及週邊設備業,2010/9/16,股票,4
6235,華孚,上市,電腦及週邊設備業,2004/8/23,股票,4
6239,力成,上市,半導體業,2004/11/8,股票,4
6243,迅杰,上市,半導體業,2009/12/17,股票,4
6257,矽格,上市,半導體業,2003/8/25,股票,4
6269,台郡,上市,電子零組件業,2003/9/23,股票,4
6271,同欣電,上市,半導體業,2007/11/16,股票,4
6272,驊陞,上市,電子零組件業,2025/12/22,股票,4
6277,宏正,上市,電腦及週邊設備業,2003/10/30,股票,4
6278,台表科,上市,光電業,2010/8/24,股票,4
6281,全國電,上市,電子通路業,2005/12/8,股票,4
6282,康舒,上市,電子零組件業,2003/9/8,股票,4
6283,淳安,上市,其他電子業,2008/1/21,股票,4
6285,啟��,上市,通信網路業,2003/9/22,股票,4
6405,悅城,上市,光電業,2013/11/28,股票,4
6409,旭隼,上市,其他電子業,2014/3/31,股票,4
6412,群電,上市,電子零組件業,2013/11/8,股票,4
6414,樺漢,上市,電腦及週邊設備業,2014/3/28,股票,4
6415,矽力*-KY,上市,半導體業,2013/12/12,股票,4
6416,瑞祺電通,上市,通信網路業,2018/4/16,股票,4
6426,統新,上市,通信網路業,2021/3/24,股票,4
6431,光麗-KY,上市,生技醫療業,2014/12/4,股票,4
6438,迅得,上市,其他電子業,2021/1/19,股票,4
6442,光聖,上市,通信網路業,2015/7/14,股票,4
6443,元晶,上市,光電業,2015/10/1,股票,4
6446,藥華藥,上市,生技醫療業,2024/1/25,股票,4
6449,鈺邦,上市,電子零組件業,2014/12/9,股票,4
6451,訊芯-KY,上市,半導體業,2015/1/26,股票,4
6456,GIS-KY,上市,光電業,2015/6/12,股票,4
6464,台數科,上市,其他業,2015/12/16,股票,4
6472,保瑞,上市,生技醫療業,2023/12/19,股票,4
6477,安集,上市,光電業,2016/6/21,股票,4
6491,晶碩,上市,生技醫療業,2019/10/7,股票,4
6504,南六,上市,其他業,2013/5/7,股票,4
6505,台塑化,上市,油電燃氣業,2003/12/26,股票,4
6515,穎崴,上市,半導體業,2021/1/20,股票,4
6525,捷敏-KY,上市,半導體業,2016/4/12,股票,4
6526,達發,上市,半導體業,2023/10/19,股票,4
6531,愛普*,上市,半導體業,2016/5/31,股票,4
6533,晶心科,上市,半導體業,2017/3/14,股票,4
6541,泰福-KY,上市,生技醫療業,2017/10/26,股票,4
6550,北極星藥業-KY,上市,生技醫療業,2022/6/6,股票,4
6552,易華電,上市,半導體業,2017/1/10,股票,4
6558,興能高,上市,其他電子業,2018/12/5,股票,4
6573,虹揚-KY,上市,半導體業,2017/9/26,股票,4
6579,研揚,上市,電腦及週邊設備業,2017/8/21,股票,4
6581,鋼聯,上市,綠能環保,2018/1/30,股票,4
6582,申豐,上市,橡膠工業,2017/6/14,股票,4
6585,鼎基,上市,其他業,2022/5/20,股票,4
6589,台康生技,上市,生技醫療業,2025/7/21,股票,4
6591,動力-KY,上市,電腦及週邊設備業,2017/12/28,股票,4
6592,和潤企業,上市,其他業,2019/12/9,股票,4
6598,ABC-KY,上市,生技醫療業,2020/6/9,股票,4
6605,帝寶,上市,汽車工業,2004/3/17,股票,4
6606,建德工業,上市,電機機械,2023/3/24,股票,4
6614,資拓宏宇,上市,數位雲端,2025/11/25,股票,4
6625,必應,上市,其他業,2018/2/7,股票,4
6641,基士德-KY,上市,綠能環保,2018/9/21,股票,4
6655,科定,上市,其他業,2018/11/28,股票,4
6657,華安,上市,生技醫療業,2023/6/12,股票,4
6658,聯策,上市,其他電子業,2023/11/2,股票,4
6666,羅麗芬-KY,上市,生技醫療業,2018/11/19,股票,4
6668,中揚光,上市,光電業,2018/12/12,股票,4
6669,緯穎,上市,電腦及週邊設備業,2019/3/27,股票,4
6670,復盛應用,上市,運動休閒,2018/12/18,股票,4
6671,三能-KY,上市,居家生活,2018/12/11,股票,4
6672,騰輝電子-KY,上市,電子零組件業,2019/4/17,股票,4
6674,鋐寶科技,上市,通信網路業,2018/11/28,股票,4
6689,伊雲谷,上市,數位雲端,2022/9/13,股票,4
6691,洋基工程,上市,其他電子業,2022/1/3,股票,4
6695,芯鼎,上市,半導體業,2022/11/4,股票,4
6698,旭暉應材,上市,其他電子業,2019/11/25,股票,4
6706,惠特,上市,光電業,2019/12/19,股票,4
6715,嘉基,上市,電子零組件業,2019/12/12,股票,4
6719,力智,上市,半導體業,2022/1/13,股票,4
6722,輝創,上市,其他電子業,2026/1/16,股票,4
6742,澤米,上市,光電業,2023/12/5,股票,4
6743,安普新,上市,其他電子業,2020/12/14,股票,4
6753,龍德造船,上市,航運業,2023/3/10,股票,4
6754,匯僑設計,上市,居家生活,2020/8/25,股票,4
6756,威鋒電子,上市,半導體業,2020/12/24,股票,4
6757,台灣虎航,上市,航運業,2024/11/29,股票,4
6768,志強-KY,上市,運動休閒,2021/4/22,股票,4
6770,力積電,上市,半導體業,2021/12/6,股票,4
6776,展�眥篕�,上市,電子通路業,2021/3/31,股票,4
6781,AES-KY,上市,電子零組件業,2021/3/22,股票,4
6782,視陽,上市,生技醫療業,2022/11/28,股票,4
6789,采鈺,上市,半導體業,2022/6/30,股票,4
6790,永豐實,上市,造紙工業,2021/9/29,股票,4
6792,詠業,上市,通信網路業,2021/12/8,股票,4
6794,向榮生技,上市,生技醫療業,2025/10/16,股票,4
6796,晉弘,上市,生技醫療業,2022/6/1,股票,4
6799,來頡,上市,半導體業,2022/5/12,股票,4
6805,富世達,上市,電子零組件業,2023/11/9,股票,4
6806,森崴能源,上市,綠能環保,2021/11/15,股票,4
6807,峰源-KY,上市,居家生活,2022/4/25,股票,4
6830,汎銓,上市,其他電子業,2022/8/31,股票,4
6831,邁科,上市,電腦及週邊設備業,2025/11/25,股票,4
6834,天二科技,上市,電子零組件業,2022/9/1,股票,4
6835,圓裕,上市,電子零組件業,2022/11/10,股票,4
6838,台新藥,上市,生技醫療業,2024/8/13,股票,4
6861,睿生光電,上市,生技醫療業,2023/3/27,股票,4
6862,三集瑞-KY,上市,電子零組件業,2024/10/23,股票,4
6863,永道-KY,上市,通信網路業,2023/3/21,股票,4
6869,雲豹能源,上市,綠能環保,2024/6/19,股票,4
6873,泓德能源,上市,綠能環保,2024/9/26,股票,4
6885,全福生技,上市,生技醫療業,2024/12/16,股票,4
6887,寶綠特-KY,上市,綠能環保,2025/3/10,股票,4
6890,來億-KY,上市,運動休閒,2024/6/12,股票,4
6901,鑽石投資,上市,其他業,2023/9/19,股票,4
6902,GOGOLOOK,上市,數位雲端,2025/5/16,股票,4
6906,現觀科,上市,數位雲端,2024/1/15,股票,4
6909,創控,上市,半導體業,2025/5/21,股票,4
6914,阜爾運通,上市,其他業,2024/5/3,股票,4
6916,華凌,上市,光電業,2023/12/5,股票,4
6918,愛派司,上市,生技醫療業,2025/6/10,股票,4
6919,康霈*,上市,生技醫療業,2024/10/2,股票,4
6923,中台,上市,綠能環保,2024/9/25,股票,4
6928,攸泰科技,上市,電腦及週邊設備業,2024/5/16,股票,4
6931,青松健康,上市,生技醫療業,2025/1/15,股票,4
6933,AMAX-KY,上市,電腦及週邊設備業,2023/11/8,股票,4
6934,心誠鎂,上市,生技醫療業,2026/2/2,股票,4
6936,永鴻生技,上市,生技醫療業,2025/4/28,股票,4
6937,天虹,上市,半導體業,2023/12/12,股票,4
6944,兆聯實業,上市,綠能環保,2025/5/28,股票,4
6952,大武山,上市,其他業,2024/6/13,股票,4
6957,裕慶-KY,上市,其他業,2024/6/25,股票,4
6958,日盛台駿,上市,其他業,2024/8/20,股票,4
6962,奕力-KY,上市,半導體業,2024/11/26,股票,4
6965,中傑-KY,上市,運動休閒,2025/3/7,股票,4
6994,富威電力,上市,綠能環保,2025/1/15,股票,4
7705,三商餐飲,上市,觀光餐旅,2024/11/26,股票,4
7711,永擎,上市,電腦及週邊設備業,2025/11/19,股票,4
7721,微程式,上市,數位雲端,2025/7/29,股票,4
7722,LINEPAY,上市,數位雲端,2024/12/5,股票,4
7732,金興精密,上市,汽車工業,2025/1/14,股票,4
7736,虎山,上市,汽車工業,2025/3/18,股票,4
7749,意騰-KY,上市,半導體業,2025/6/13,股票,4
7750,新代,上市,電機機械,2025/9/17,股票,4
7760,享溫馨,上市,觀光餐旅,2026/4/28,股票,4
7765,中華資安,上市,數位雲端,2025/9/8,股票,4
7769,鴻勁,上市,半導體業,2025/11/27,股票,4
7780,大研生醫*,上市,食品工業,2026/1/19,股票,4
7786,東方風能,上市,綠能環保,2025/11/18,股票,4
7788,松川精密,上市,電子零組件業,2025/10/16,股票,4
7791,皇家可口,上市,食品工業,2025/10/28,股票,4
7795,長廣,上市,電子零組件業,2026/1/16,股票,4
7799,禾榮科,上市,生技醫療業,2025/9/15,股票,4
7821,神數,上市,汽車工業,2026/4/20,股票,4
7822,倍利科,上市,半導體業,2026/3/30,股票,4
8011,台通,上市,通信網路業,2011/9/19,股票,4
8016,矽創,上市,半導體業,2003/12/25,股票,4
8021,尖點,上市,其他電子業,2008/1/21,股票,4
8028,昇陽半導體,上市,半導體業,2018/7/10,股票,4
8033,雷虎,上市,其他業,2007/6/21,股票,4
8039,台虹,上市,電子零組件業,2009/12/17,股票,4
8045,達運光電,上市,通信網路業,2024/12/11,股票,4
8046,南電,上市,電子零組件業,2006/4/7,股票,4
8070,長華*,上市,電子通路業,2007/12/31,股票,4
8072,陞泰,上市,電子通路業,2005/8/19,股票,4
8081,致新,上市,半導體業,2008/12/30,股票,4
8101,華冠,上市,通信網路業,2004/7/1,股票,4
8103,瀚荃,上市,電子零組件業,2009/9/29,股票,4
8104,錸寶,上市,光電業,2019/1/17,股票,4
8105,凌巨,上市,光電業,2006/12/27,股票,4
8110,華東,上市,半導體業,2007/10/31,股票,4
8112,至上,上市,電子通路業,2007/12/31,股票,4
8114,振樺電,上市,電腦及週邊設備業,2012/11/26,股票,4
8131,福懋科,上市,半導體業,2007/11/29,股票,4
8150,南茂,上市,半導體業,2014/4/11,股票,4
8163,達方,上市,電腦及週邊設備業,2007/11/28,股票,4
8201,無敵,上市,其他電子業,2007/10/29,股票,4
8210,勤誠,上市,電腦及週邊設備業,2011/12/1,股票,4
8213,志超,上市,電子零組件業,2009/12/25,股票,4
8215,明基材,上市,光電業,2010/11/12,股票,4
8222,寶一,上市,電機機械,2015/1/27,股票,4
8249,菱光,上市,電子零組件業,2005/5/17,股票,4
8261,富鼎,上市,半導體業,2009/12/11,股票,4
8271,宇瞻,上市,半導體業,2010/12/29,股票,4
8341,日友,上市,綠能環保,2015/3/23,股票,4
8367,建新國際,上市,航運業,2018/9/12,股票,4
8374,羅昇,上市,電機機械,2008/12/25,股票,4
8404,百和興業-KY,上市,其他業,2011/5/18,股票,4
8411,福貞-KY,上市,其他業,2011/11/1,股票,4
8422,可寧衛*,上市,綠能環保,2011/10/5,股票,4
8429,金麗-KY,上市,貿易百貨業,2012/12/20,股票,4
8438,昶昕,上市,綠能環保,2022/3/11,股票,4
8442,威宏-KY,上市,其他業,2016/11/8,股票,4
8443,阿瘦,上市,貿易百貨業,2014/9/15,股票,4
8454,富邦媒,上市,數位雲端,2014/12/19,股票,4
8462,柏文,上市,運動休閒,2019/3/15,股票,4
8463,潤泰材,上市,其他業,2015/7/13,股票,4
8464,億豐,上市,居家生活,2015/12/22,股票,4
8466,美吉吉-KY,上市,其他業,2016/11/1,股票,4
8467,波力-KY,上市,運動休閒,2015/12/15,股票,4
8473,山林水,上市,綠能環保,2016/9/8,股票,4
8476,台境*,上市,綠能環保,2023/10/31,股票,4
8478,東哥遊艇,上市,運動休閒,2017/12/11,股票,4
8481,政伸,上市,其他業,2017/2/24,股票,4
8482,商億-KY,上市,居家生活,2018/8/15,股票,4
8488,吉源-KY,上市,其他業,2016/12/13,股票,4
8499,鼎炫-KY,上市,其他電子業,2017/11/24,股票,4
8926,台汽電,上市,油電燃氣業,2003/8/25,股票,4
8940,新天地,上市,觀光餐旅,2009/5/15,股票,4
8996,高力,上市,電機機械,2014/2/14,股票,4
9802,鈺齊-KY,上市,運動休閒,2012/10/18,股票,4
9902,台火,上市,其他業,1964/7/14,股票,4
9904,寶成,上市,運動休閒,1990/1/19,股票,4
9905,大華,上市,其他業,1990/8/8,股票,4
9906,欣巴巴,上市,建材營造業,1990/12/15,股票,4
9907,統一實,上市,其他業,1991/1/29,股票,4
9908,大台北,上市,油電燃氣業,1991/2/6,股票,4
9910,豐泰,上市,運動休閒,1992/2/18,股票,4
9911,櫻花,上市,居家生活,1992/7/16,股票,4
9912,偉聯,上市,電腦及週邊設備業,1992/8/8,股票,4
9914,美利達,上市,運動休閒,1992/9/30,股票,4
9917,中保科,上市,其他業,1993/12/8,股票,4
9918,欣天然,上市,油電燃氣業,1994/4/26,股票,4
9919,康那香,上市,其他業,1994/11/4,股票,4
9921,巨大,上市,運動休閒,1994/12/29,股票,4
9924,福興,上市,居家生活,1995/3/15,股票,4
9925,新保,上市,其他業,1995/12/9,股票,4
9926,新海,上市,油電燃氣業,1998/4/8,股票,4
9927,泰銘,上市,其他業,1999/3/12,股票,4
9928,中視,上市,其他業,1999/8/9,股票,4
9929,秋雨,上市,其他業,1999/6/28,股票,4
9930,中聯資源,上市,綠能環保,1999/11/22,股票,4
9931,欣高,上市,油電燃氣業,2000/3/21,股票,4
9933,中鼎,上市,其他業,1993/5/28,股票,4
9934,成霖,上市,居家生活,2000/9/11,股票,4
9935,慶豐富,上市,居家生活,2000/9/11,股票,4
9937,全國,上市,油電燃氣業,2000/9/11,股票,4
9938,百和,上市,其他業,2001/1/12,股票,4
9939,宏全,上市,其他業,2001/3/2,股票,4
9940,信義,上市,其他業,2001/9/17,股票,4
9941,裕融,上市,其他業,2001/9/17,股票,4
9942,茂順,上市,其他業,2002/1/28,股票,4
9943,好樂迪,上市,觀光餐旅,2002/8/26,股票,4
9944,新麗,上市,其他業,2002/8/26,股票,4
9945,潤泰新,上市,其他業,1992/4/30,股票,4
9946,三發地產,上市,建材營造業,2013/9/17,股票,4
9955,佳龍,上市,綠能環保,2008/1/21,股票,4
9958,世紀鋼,上市,鋼鐵工業,2008/3/12,股票,4
1240,茂生農經,上櫃,農業科技業,2018/8/8,股票,4
1259,安心,上櫃,觀光餐旅,2011/12/15,股票,4
1264,德麥,上櫃,食品工業,2015/4/9,股票,4
1268,漢來美食,上櫃,觀光餐旅,2017/9/27,股票,4
1294,漢田生技,上櫃,食品工業,2024/9/26,股票,4
1295,生合,上櫃,食品工業,2025/5/27,股票,4
1336,台翰,上櫃,電子零組件業,2007/11/2,股票,4
1565,精華,上櫃,生技醫療業,2004/3/30,股票,4
1569,濱川,上櫃,電腦及週邊設備業,2005/7/29,股票,4
1570,力肯,上櫃,電機機械,2005/6/30,股票,4
1580,新麥,上櫃,電機機械,2007/12/10,股票,4
1584,精剛,上櫃,其他業,2007/11/28,股票,4
1586,和勤,上櫃,電機機械,2012/1/9,股票,4
1591,駿吉-KY,上櫃,電機機械,2012/3/23,股票,4
1593,祺驊,上櫃,運動休閒,2012/6/13,股票,4
1595,川寶,上櫃,電子零組件業,2011/10/4,股票,4
1599,宏佳騰,上櫃,電機機械,2012/12/25,股票,4
1742,台蠟,上櫃,化學工業,2004/5/14,股票,4
1777,生泰,上櫃,生技醫療業,2005/10/19,股票,4
1781,合世,上櫃,生技醫療業,2004/12/24,股票,4
1784,訊聯,上櫃,生技醫療業,2007/7/26,股票,4
1785,光洋科,上櫃,其他電子業,2005/1/31,股票,4
1788,杏昌,上櫃,生技醫療業,2009/7/20,股票,4
1796,金穎生技,上櫃,食品工業,2018/1/22,股票,4
1799,易威,上櫃,生技醫療業,2008/11/10,股票,4
1813,寶利徠,上櫃,生技醫療業,2009/8/4,股票,4
1815,富喬,上櫃,電子零組件業,2006/1/23,股票,4
2035,唐榮,上櫃,鋼鐵工業,2006/7/7,股票,4
2061,風青,上櫃,電器電纜,2010/12/9,股票,4
2063,世鎧,上櫃,鋼鐵工業,2010/9/7,股票,4
2064,晉椿,上櫃,鋼鐵工業,2014/12/26,股票,4
2065,世豐,上櫃,鋼鐵工業,2017/4/21,股票,4
2066,世德,上櫃,電機機械,2013/9/24,股票,4
2067,嘉鋼,上櫃,電機機械,2014/5/26,股票,4
2070,精湛,上櫃,電機機械,2018/12/17,股票,4
2073,雄順,上櫃,鋼鐵工業,2023/6/21,股票,4
2221,大甲,上櫃,其他業,2007/8/1,股票,4
2230,泰茂,上櫃,電機機械,2013/4/18,股票,4
2235,謚源,上櫃,電機機械,2014/12/15,股票,4
2596,綠意,上櫃,建材營造業,2009/6/1,股票,4
2640,大車隊,上櫃,數位雲端,2012/11/7,股票,4
2641,正德,上櫃,航運業,2014/10/9,股票,4
2643,捷迅,上櫃,航運業,2016/3/4,股票,4
2718,全心投控,上櫃,建材營造業,2011/3/29,股票,4
2719,燦星旅,上櫃,觀光餐旅,2012/2/24,股票,4
2724,藝舍-KY,上櫃,其他業,2012/5/29,股票,4
2726,雅茗-KY,上櫃,觀光餐旅,2014/12/24,股票,4
2729,瓦城,上櫃,觀光餐旅,2012/9/17,股票,4
2732,六角,上櫃,觀光餐旅,2015/1/20,股票,4
2734,易飛網,上櫃,觀光餐旅,2013/12/26,股票,4
2736,富野,上櫃,觀光餐旅,2016/1/6,股票,4
2740,華軒,上櫃,觀光餐旅,2015/12/24,股票,4
2743,山富,上櫃,觀光餐旅,2020/3/9,股票,4
2745,五福,上櫃,觀光餐旅,2018/4/16,股票,4
2751,王座,上櫃,觀光餐旅,2024/9/10,股票,4
2752,豆府,上櫃,觀光餐旅,2019/9/25,股票,4
2754,亞洲藏壽司,上櫃,觀光餐旅,2020/9/17,股票,4
2755,揚秦,上櫃,觀光餐旅,2020/12/16,股票,4
2756,聯發國際,上櫃,觀光餐旅,2022/1/14,股票,4
2916,滿心,上櫃,居家生活,2005/3/10,股票,4
2924,宏太-KY,上櫃,居家生活,2011/12/2,股票,4
2926,誠品生活,上櫃,文化創意業,2013/1/30,股票,4
2937,集雅社,上櫃,居家生活,2017/6/8,股票,4
2941,米斯特,上櫃,居家生活,2024/3/20,股票,4
2947,振宇五金,上櫃,居家生活,2021/10/6,股票,4
2948,寶陞,上櫃,居家生活,2023/12/12,股票,4
2949,欣新網,上櫃,數位雲端,2023/12/15,股票,4
3064,泰偉,上櫃,文化創意業,2004/6/9,股票,4
3066,李洲,上櫃,光電業,2004/12/2,股票,4
3067,全域,上櫃,其他電子業,2003/10/21,股票,4
3071,協禧,上櫃,電腦及週邊設備業,2004/12/30,股票,4
3073,天方能源,上櫃,綠能環保,2007/10/8,股票,4
3078,僑威,上櫃,電子零組件業,2005/1/31,股票,4
3081,聯亞,上櫃,通信網路業,2015/7/22,股票,4
3083,網龍,上櫃,文化創意業,2003/12/2,股票,4
3085,新零售,上櫃,數位雲端,2004/3/1,股票,4
3086,華義*,上櫃,文化創意業,2004/3/29,股票,4
3088,艾訊,上櫃,電腦及週邊設備業,2005/4/28,股票,4
3093,港建*,上櫃,其他電子業,2005/6/17,股票,4
3095,及成,上櫃,通信網路業,2005/5/26,股票,4
3105,穩懋,上櫃,半導體業,2011/12/13,股票,4
3114,好德,上櫃,電子零組件業,2004/3/25,股票,4
